Date,spot,log_ret,rv_1m,rv_3m,iv_1m_synth,iv_3m_synth
2015-03-31,1.0830246210098267,-0.005037992599711713,0.17090721856159105,0.14202102567426983,0.18600251091192022,0.14068819924032566
2015-04-01,1.073814034461975,-0.008540873017487882,0.17225978650163684,0.1426500528560457,0.18747454372097808,0.1413113231831159
2015-04-02,1.0769942998886108,0.002957276753665615,0.17293827642083212,0.14149984651409495,0.18821296091400766,0.1401719111965063
2015-04-03,1.087074637413025,0.009316163877554637,0.17494573548646392,0.14317808327679982,0.1903977277711539,0.14183439819040666
2015-04-06,1.100134253501892,0.011941951539813292,0.17989700216956908,0.1454415645985202,0.1957863125424882,0.1440766373916452
2015-04-07,1.0934817790985107,-0.0060653229178221696,0.17072130986159087,0.14570660352068365,0.18580018192142214,0.1443391889998366
2015-04-08,1.0824151039123535,-0.010172146205242448,0.17456246173238993,0.14673844914780917,0.18998060155949123,0.14536135105285009
2015-04-09,1.078527569770813,-0.0035980022818393863,0.17004681143350303,0.1459687503749107,0.18506610876590313,0.14459887568131646
2015-04-10,1.0669056177139282,-0.010834236933770044,0.165814314057202,0.1471147136850319,0.18045977823144185,0.14573408445572855
2015-04-13,1.0609854459762573,-0.00556437038889904,0.16517836542704037,0.14721339156652888,0.17976765976496273,0.14583183627371993
2015-04-14,1.0572947263717651,-0.0034846413494175107,0.15819327735023583,0.14718225827085338,0.1721656173693202,0.14580099515506018
2015-04-15,1.0647132396697998,0.006992003460704671,0.15719045921065364,0.14648624324164755,0.17107422583232032,0.14511151202650033
2015-04-16,1.0676802396774292,0.002782790278670431,0.1572641482898466,0.14640138473915362,0.17115442346160736,0.14502744989661906
2015-04-17,1.0755579471588135,0.007351252890400624,0.13581267314227188,0.14720121443679252,0.14780825778297255,0.14581977342284
2015-04-20,1.0810226202011108,0.0050679161456982395,0.12305692856907248,0.14758044992891683,0.13392586861805172,0.14619544989906372
2015-04-21,1.0747487545013428,-0.005820546172887794,0.11370907751595224,0.14719807376409208,0.12375237341905047,0.14581666222444856
2015-04-22,1.074171543121338,-0.0005372106117897189,0.1061353480988368,0.14013902848271845,0.11550969823887211,0.13882386405053493
2015-04-23,1.0725815296173096,-0.0014813196868964213,0.10558902460568882,0.13482781949633107,0.11491512100362751,0.13356249923123234
2015-04-24,1.0815019607543945,0.008282392182623336,0.10819248150848865,0.13401089983609338,0.11774852690097541,0.1327532461267909
2015-04-27,1.086897373199463,0.004976411397304738,0.10744021242439027,0.13256656207065412,0.11692981403617453,0.13132246305541317
2015-04-28,1.0877959728240967,0.0008264150689745702,0.10748523924334347,0.1318590215916613,0.11697881782579886,0.13062156264009409
2015-04-29,1.096912145614624,0.008345486175603142,0.10960687437445567,0.13263786524507712,0.11928784529080085,0.1313930970700745
2015-04-30,1.1114321947097778,0.013150357104829433,0.11251455598385345,0.135364576568317,0.12245234638579407,0.13409421899264573
2015-05-01,1.1214659214019775,0.008987238741826697,0.11530858966584275,0.1364889321352451,0.12549316165852756,0.13520802280631308
2015-05-04,1.1185932159423828,-0.0025648492814611475,0.11303796958908831,0.1349396486456743,0.1230219902290356,0.13367327889620784
2015-05-05,1.1149141788482666,-0.0032944063047326937,0.10724145675420638,0.13293930149155825,0.11671350337344578,0.13169170442417472
2015-05-06,1.1186307668685913,0.003327975519527869,0.10475391479691902,0.1302178583715004,0.11400625054967194,0.1289958012642155
2015-05-07,1.1341469287872314,0.013775355917792378,0.10518119379510936,0.13034995427956572,0.11447126874604902,0.1291266574902179
2015-05-08,1.1246949434280396,-0.008368926256090859,0.10970909102558833,0.13140741606881384,0.11939909017517553,0.13017419530504812
2015-05-11,1.1194071769714355,-0.004712598588704311,0.10250133975922093,0.13172812975564113,0.1115547179780482,0.13049189918626738
2015-05-12,1.114441990852356,-0.00444541589227636,0.1014896353441094,0.13199778122657554,0.11045365528979431,0.13075902005578763
2015-05-13,1.1221455335617065,0.006888684738586101,0.1003424876894801,0.13170923308722485,0.1092051864074172,0.13047317985764328
2015-05-14,1.1350480318069458,0.011432461064799745,0.10378066041243192,0.13376713791478176,0.11294703397126044,0.1325117718409246
2015-05-15,1.1404979228973389,0.0047899727089588595,0.10394926212656386,0.1335981929174401,0.1131305273452474,0.13234441234373878
2015-05-18,1.144505262374878,0.0035075168488019185,0.10283481321519197,0.13320281044735932,0.11191764530584118,0.13195274042429753
2015-05-19,1.1326183080673218,-0.010440419164911752,0.11241352869940488,0.13484592806038032,0.12234239591830533,0.13358043785162196
2015-05-20,1.1146656274795532,-0.01597756493461942,0.12622547531459266,0.13843517761710272,0.13737427562840954,0.1371360033347045
2015-05-21,1.1100751161575317,-0.004126789020246717,0.1276447019802216,0.13860412968061855,0.13891885476077076,0.13730336983175048
2015-05-22,1.1111851930618286,0.000999501942301675,0.12718702429644319,0.1384060568256124,0.13842075293050513,0.1371071558334576
2015-05-25,1.0992997884750366,-0.010753766006082483,0.13175584102462795,0.13995785559040064,0.14339310805096775,0.13864439141364654
2015-05-26,1.0971167087554932,-0.0019878565301065165,0.13116655941358976,0.13988360521039972,0.14275177844412132,0.13857083785208307
2015-05-27,1.08888578414917,-0.007530607610023686,0.13402445114747064,0.1379312710094466,0.14586209199840044,0.13663682574547178
2015-05-28,1.0900014638900757,0.0010240822139052667,0.13067076761444163,0.13778486164345363,0.14221219608881044,0.1364917903892231
2015-05-29,1.0960345268249512,0.005519651348569679,0.12323545697012567,0.1382395687495242,0.13412016544848673,0.1369422302000267
